Professor,UG CDC,HD CDC,UG DEL,HD EL,TYPE
PF-1,DS F21;CS F24;CS F21;CS F33;,HCS F21;HCS F11;,UDEL F22;UDEL F32;UDEL F21;UDEL F31;,HDEL F12;HDEL F21;,X2
PF-2,DS F21;CS F24;CS F11;CS F21;,HCS F11;HCS F21;,UDEL F31;UDEL F41;UDEL F22;UDEL F21;,HDEL F21;HDEL F11;,X2
PF-3,DS F21;CS F33;CS F32;CS F23;,HCS F22;HCS F12;,UDEL F22;UDEL F41;UDEL F42;UDEL F31;,HDEL F22;HDEL F11;,X3
PF-4,CS F31;CS F32;DS F22;CS F23;,HCS F12;HCS F21;,UDEL F22;UDEL F41;UDEL F31;UDEL F42;,HDEL F12;HDEL F22;,X3
PF-5,CS F33;CS F34;CS F23;CS F22;,HCS F22;HCS F21;,UDEL F42;UDEL F22;UDEL F31;UDEL F41;,HDEL F12;HDEL F21;,X3
PF-6,CS F24;CS F31;DS F22;DS F21;,HCS F21;HCS F12;,UDEL F31;UDEL F41;UDEL F22;UDEL F32;,HDEL F11;HDEL F21;,X1
PF-7,CS F11;DS F22;CS F33;CS F22;,HCS F21;HCS F12;,UDEL F42;UDEL F31;UDEL F22;UDEL F21;,HDEL F12;HDEL F11;,X2
PF-8,CS F33;DS F21;CS F23;CS F31;,HCS F21;HCS F11;,UDEL F21;UDEL F31;UDEL F32;UDEL F41;,HDEL F11;HDEL F21;,X1
PF-9,CS F34;CS F24;CS F32;CS F33;,HCS F11;HCS F12;,UDEL F21;UDEL F22;UDEL F31;UDEL F32;,HDEL F11;HDEL F22;,X2
PF-10,CS F21;CS F34;CS F33;CS F32;,HCS F22;HCS F21;,UDEL F41;UDEL F42;UDEL F21;UDEL F22;,HDEL F22;HDEL F21;,X2
PF-11,CS F32;CS F33;CS F23;DS F22;,HCS F12;HCS F21;,UDEL F42;UDEL F21;UDEL F22;UDEL F31;,HDEL F21;HDEL F22;,X2
PF-12,CS F32;CS F21;CS F33;DS F21;,HCS F21;HCS F12;,UDEL F42;UDEL F31;UDEL F22;UDEL F32;,HDEL F11;HDEL F12;,X3
PF-13,CS F24;CS F31;CS F21;CS F32;,HCS F11;HCS F22;,UDEL F22;UDEL F21;UDEL F31;UDEL F32;,HDEL F12;HDEL F21;,X3
PF-14,CS F32;DS F21;CS F11;CS F31;,HCS F12;HCS F22;,UDEL F32;UDEL F42;UDEL F31;UDEL F22;,HDEL F11;HDEL F21;,X2
PF-15,CS F31;CS F22;CS F34;CS F32;,HCS F21;HCS F11;,UDEL F31;UDEL F42;UDEL F41;UDEL F22;,HDEL F11;HDEL F12;,X3
PF-16,CS F33;CS F22;CS F34;CS F31;,HCS F21;HCS F22;,UDEL F22;UDEL F31;UDEL F21;UDEL F41;,HDEL F12;HDEL F11;,X2
PF-17,DS F22;DS F21;CS F24;CS F33;,HCS F22;HCS F21;,UDEL F31;UDEL F41;UDEL F42;UDEL F22;,HDEL F21;HDEL F22;,X3
PF-18,DS F21;CS F23;CS F31;CS F22;,HCS F22;HCS F21;,UDEL F21;UDEL F22;UDEL F42;UDEL F31;,HDEL F11;HDEL F12;,X2
PF-19,CS F32;CS F21;CS F23;CS F22;,HCS F21;HCS F11;,UDEL F41;UDEL F42;UDEL F31;UDEL F32;,HDEL F12;HDEL F11;,X1
PF-20,DS F21;CS F21;CS F31;DS F22;,HCS F21;HCS F12;,UDEL F32;UDEL F42;UDEL F41;UDEL F22;,HDEL F12;HDEL F21;,X2
PF-21,CS F21;CS F33;CS F34;DS F22;,HCS F11;HCS F21;,UDEL F21;UDEL F32;UDEL F31;UDEL F41;,HDEL F21;HDEL F12;,X2
PF-22,CS F22;DS F21;CS F34;CS F31;,HCS F12;HCS F22;,UDEL F32;UDEL F42;UDEL F21;UDEL F31;,HDEL F12;HDEL F22;,X2
PF-23,CS F33;DS F21;CS F23;CS F11;,HCS F11;HCS F21;,UDEL F41;UDEL F22;UDEL F42;UDEL F32;,HDEL F21;HDEL F11;,X2
PF-24,DS F22;CS F11;CS F31;CS F32;,HCS F11;HCS F22;,UDEL F41;UDEL F31;UDEL F42;UDEL F22;,HDEL F21;HDEL F22;,X2
PF-25,CS F11;CS F31;CS F21;DS F22;,HCS F12;HCS F21;,UDEL F42;UDEL F31;UDEL F32;UDEL F41;,HDEL F21;HDEL F22;,X2
